scenario	human_gene_name	mouse_component	human_component	pharmacology_component	penalty_component	scenario_score	scenario_rank	top10	median_rank_all_scenarios	rank_range_all_scenarios	top10_frequency_all_scenarios
omit_mouse	ELOB	0.0	5.292453496238932	4.035479666049731	2.0	7.327933162288662	59	False	67.0	36-88	0.0
omit_mouse	CSRP3	0.0	13.180763025527773	6.0	12.0	7.180763025527774	60	False	58.0	44-74	0.0
omit_mouse	ACTN2	0.0	9.946633729165892	9.0	12.0	6.946633729165892	61	False	70.0	55-83	0.0
omit_mouse	MB	0.0	14.008568164983352	4.893273398342892	12.0	6.9018415633262435	62	False	75.0	61-85	0.0
omit_mouse	GNG11	0.0	6.393834076025538	0.04434958256216422	0.0	6.438183658587702	63	False	76.0	32-97	0.0
omit_mouse	DYNC1H1	0.0	5.362987845287527	3.0	2.0	6.3629878452875275	64	False	72.0	41-91	0.0
omit_mouse	C1QA	0.0	11.647832717063926	4.5	10.0	6.1478327170639275	65	False	48.0	28-65	0.0
omit_mouse	IGFBP4	0.0	11.119737853720371	4.984913797696352	10.0	6.104651651416724	66	False	51.0	40-66	0.0
omit_mouse	HSPB1	0.0	9.4951289302995	8.575507004710767	12.0	6.070635935010266	67	False	65.0	50-77	0.0
omit_mouse	CILP	0.0	9.121550915992344	0.9039923245587804	4.0	6.025543240551125	68	False	66.0	21-82	0.0
omit_mouse	ZNF703	0.0	4.465184227092011	1.5	0.0	5.965184227092011	69	False	71.0	38-96	0.0
omit_mouse	SPARC	0.0	17.289446726017196	2.523339371447697	14.0	5.812786097464894	70	False	55.0	20-84	0.0
omit_mouse	MYOZ2	0.0	11.740953443310246	6.0	12.0	5.7409534433102465	71	False	80.0	66-82	0.0
omit_mouse	NRBP1	0.0	5.386905291297036	2.0	2.0	5.386905291297036	72	False	77.0	48-95	0.0
omit_mouse	APOE	0.0	10.716602113925003	10.5	16.0	5.216602113925003	73	False	53.0	32-76	0.0
omit_mouse	TIMP2	0.0	11.612017321940527	4.176224986734419	11.0	4.7882423086749455	74	False	59.0	44-74	0.0
omit_mouse	PSAP	0.0	11.699219453483678	3.0	10.0	4.699219453483678	75	False	62.0	33-75	0.0
omit_mouse	TGFBR1	0.0	6.688833916422389	18.0	20.0	4.688833916422389	76	False	69.0	26-97	0.0
omit_mouse	ACTA2	0.0	13.887258970111866	0.5327271857367166	10.0	4.419986155848582	77	False	63.0	14-77	0.0
omit_mouse	HSPB7	0.0	10.705689178958828	5.571356912631749	12.0	4.277046091590577	78	False	73.0	58-78	0.0
omit_mouse	CASQ2	0.0	12.400284238389922	2.252475699396435	12.0	2.6527599377863567	79	False	88.0	75-91	0.0
omit_mouse	SLC6A6	0.0	5.906400145258589	8.336859220772505	12.0	2.2432593660310935	80	False	87.0	73-89	0.0
omit_mouse	SORBS2	0.0	9.942743305107754	3.599731083004312	12.0	1.5424743881120655	81	False	85.0	72-87	0.0
omit_mouse	BGN	0.0	15.476927607202171	0.0	14.0	1.476927607202171	82	False	78.0	43-93	0.0
omit_mouse	POSTN	0.0	11.603832214193016	5.736954296236388	16.0	1.3407865104294032	83	False	95.0	81-96	0.0
omit_mouse	FBLN2	0.0	12.921602662326848	2.192970070235607	14.0	1.1145727325624541	84	False	82.0	60-87	0.0
omit_mouse	FSTL1	0.0	13.775023681378507	0.9503446510206115	14.0	0.7253683323991176	85	False	84.0	62-92	0.0
omit_mouse	AEBP1	0.0	14.349653117989407	0.23383179127724157	14.0	0.5834849092666481	86	False	79.0	46-89	0.0
