candidate_gene	candidate_mouse_spatial_score	null_index	matched_mouse_gene	matched_mouse_spatial_score	detection_distance	effect_percentile_distance	seed
MYH7	37.141655837024786	11	D8Ertd738e	33.0114085502142	0.01903424869367254	0.019736398649491838	20260711
MYH7	37.141655837024786	12	Hspb8	34.97232347409121	0.013751736630746025	0.019387359441644048	20260711
MYH7	37.141655837024786	13	Tpm4	36.688515671553965	0.03171295284266906	0.018573111755762484	20260711
MYH7	37.141655837024786	14	Map7d1	30.916830798683854	0.01079713911436897	0.04813571018133356	20260711
MYH7	37.141655837024786	15	Mtch1	36.534595971123146	0.007770766438190857	0.03403418298712635	20260711
MYH7	37.141655837024786	16	Calm2	35.473496329495966	0.0012856821320949008	0.03856206813345442	20260711
MYH7	37.141655837024786	17	Pfn1	36.17923975527224	0.05924177139146758	0.0172478770787885	20260711
MYH7	37.141655837024786	18	Atp1b1	36.09075981215257	0.05564236248043786	0.0023264831329972147	20260711
MYH7	37.141655837024786	19	Cd34	29.545391609351615	0.023357638231069844	0.004245865086669132	20260711
MYH7	37.141655837024786	20	Ptgds	33.449559202770985	0.007257465133563512	0.02753005040713452	20260711
MYH7	37.141655837024786	21	Bag3	34.44370998959364	0.006505916593109395	0.07212097712291587	20260711
MYH7	37.141655837024786	22	Tubb5	36.728038868147195	0.012814720898487786	0.001526280845010608	20260711
MYH7	37.141655837024786	23	Ifi27l2a	35.20731926001887	0.0015787658423079831	0.001778231298873001	20260711
MYH7	37.141655837024786	24	Lamc1	31.643677888791455	0.005740230677930169	0.03694810260818382	20260711
MYH7	37.141655837024786	25	Cisd1	34.154233785501084	0.03154730667803629	0.0430399379604498	20260711
MYH7	37.141655837024786	26	Lum	37.456803364670634	0.05232434813163189	0.006827219552906771	20260711
MYH7	37.141655837024786	27	Popdc2	35.207151103516196	0.0710077329357297	0.00465296626599454	20260711
MYH7	37.141655837024786	28	Gja1	34.712321441509324	0.03800895668666815	0.016285381930980947	20260711
MYH7	37.141655837024786	29	Cnbp	34.144255423601905	0.06442983883634434	0.00510645028460377	20260711
MYH7	37.141655837024786	30	Ifitm2	36.3797482923492	0.004312054808273014	0.03304025697939583	20260711
COL18A1	37.59280026623878	1	Dab2	36.528850003940434	0.017894298793175223	0.022418553285477705	20260711
COL18A1	37.59280026623878	2	Pf4	36.39887193619407	0.034133727134208036	0.009387078961899498	20260711
COL18A1	37.59280026623878	3	Plxdc2	37.78168318667576	0.032404371319249115	0.013141910546659363	20260711
COL18A1	37.59280026623878	4	Sat1	38.09083755646896	0.039533915938410324	0.002760905577029349	20260711
